trial_number,value,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample
88,0.025943539231985398,0.8281100063241671,0.01076772053671069,0.023351321155241092,25,2,1.5009056974921127,0.7254967540519428
89,0.01964835135820674,0.8625329538004056,0.026409465714817552,0.027556436554024552,22,1,1.2096711876364534,0.7109378386778782
90,0.03136265313276717,0.808842139154745,0.015288055332883707,0.021321097073320982,24,2,1.3279817865461203,0.7356679699104656
91,0.018844497082987802,0.8318370904365686,0.007294228069468658,0.02805596092872555,26,2,1.6757726361750125,0.7531261443076049
92,0.02136944670278983,0.8354781979666849,0.008251796379501084,0.025806926789184552,23,2,1.7152529721901038,0.7493406898074128
93,0.01865431429939643,0.8199523978723279,0.011759182071707444,0.028308320164107677,26,3,1.871001769866444,0.762186345924018
94,0.024847972147292643,0.884261129265939,0.009434401864688542,0.02405208767108612,26,3,1.8923935898695776,0.765493613466266
95,0.017831329587504958,0.8214571395965878,0.016907982959265946,0.029813089404363658,27,3,2.0402480673338155,0.7541850463603217
96,0.021506419124555008,0.8162887072117585,0.01772955652406547,0.025998239331523704,27,3,1.8410562403439892,0.7784477678461414
97,0.017724056931138956,0.8006404255129168,0.012828568791648736,0.029772401510845745,24,3,2.024925434758374,0.6750846286117903
98,0.01817801969011414,0.7909442457612513,0.013961611027142138,0.029748442677191796,24,3,2.032289018851681,0.6765102701314024
99,0.018243973256575046,0.789782114709741,0.01286294928041187,0.029885182408650873,22,3,2.0950781004016656,0.6727798682356149
100,0.029407169537273837,0.7956438188463193,0.0251628870819302,0.022840416578856607,21,3,2.169346087217682,0.6682570534803869
101,0.023936501345109617,0.8021974859217904,0.013364893825608657,0.024907494379325084,22,3,2.061086524316403,0.6542832196064224
102,0.019283947980399913,0.7778573368330264,0.03111830536306979,0.028962121637706756,24,3,1.842490185311167,0.672836811234561
103,0.018960535427746686,0.7898572630546354,0.06054165703311982,0.029971182948699545,27,4,1.6464588359546137,0.6583358784616864
104,0.021603090276266862,0.8108020379230703,0.018878430184896593,0.02661004883340216,23,3,2.2316880748291545,0.6857581791785128
105,0.01930848985135422,0.8502844534948552,0.0154548045294436,0.02829966074766252,24,3,2.072926923407921,0.6791490218674087
106,0.023758267022321238,0.840414497254693,0.013386062037428295,0.024981925899988655,22,4,2.375478656457773,0.7593650280508689
107,0.2513389932356331,0.7889995208871607,0.04699040306578198,0.007695885562317536,25,3,1.5340722216817642,0.786009814091552
108,0.020925482173605868,0.8016377922812781,0.006301869265604112,0.026574618076046674,21,3,1.917421570031992,0.6983829455630673
109,0.029320912218303283,0.7720428350725069,0.033595624935303346,0.0224135480126536,23,4,1.395307232877557,0.7253790736718014
110,0.017743762426506136,0.8188733909801461,0.023350897382119123,0.02970584186927832,27,4,1.7975570660534241,0.9735869926946197
111,0.017672808945867913,0.816817695102647,0.023607662667429207,0.029947540151639564,27,4,1.8280503211163068,0.6698925288902536
