trial_number,value,colsample_bytree,learning_rate,max_depth,min_child_samples,reg_alpha,reg_lambda,subsample
62,0.15196521410040503,0.8397751530039796,0.003132004314565633,4,77,0.09198091052261197,3.135897745150805,0.8106956595289686
63,0.15665701405812152,0.8297751989942679,0.002468843986716785,5,77,0.026960899511941718,3.193259880190411,0.8190055042948079
64,0.1605972830196055,0.8636627215675705,0.0038963842920724774,6,70,0.05918517731838674,4.971668775719477,0.8078152670446891
65,0.1583151860069198,0.8965110861702595,0.002956256612257881,5,73,0.04059809525561248,3.757882379091561,0.8573814831134215
66,0.1621842369270356,0.7803624657435926,0.0026861125434926836,7,66,0.22605962657688317,3.507130611979191,0.8973266023366393
67,0.15325519258359205,0.9276388118242905,0.0021784144008823994,4,61,0.1380703094986042,2.532246453915539,0.8296503294461253
68,0.1563771164143663,0.835120569346834,0.00833355017688554,8,76,0.07458780335215381,4.12657511215458,0.7760018378533535
69,0.16059873471278,0.8771530379289024,0.002847804299850514,26,70,0.051157928345807395,3.009759689309896,0.8079755813911167
70,0.15329450260131128,0.7926524511943825,0.00346202711092828,6,78,0.005255042470255931,3.2991440913606906,0.7532381997458985
71,0.15700299439843993,0.8511802320686681,0.003025960795781954,4,67,0.0864538048224184,2.832925972679351,0.7932246222133195
72,0.15307440241131004,0.8415255876309073,0.003213164918872267,5,85,0.14030947358031487,2.1563519107480955,0.7742090672223451
73,0.15443741710342965,0.8236363032642179,0.0038070157414312454,4,73,0.10060457627224362,4.014872134228028,0.7489096183322251
74,0.16089635924294757,0.8565364890524809,0.002510272003228252,6,66,0.3236068810731418,3.0654679786895134,0.7102717007774736
75,0.15414010356358832,0.9020775429954454,0.002340454249625094,4,87,0.02945741761214873,4.714666563243699,0.7298957128921666
76,0.15668482215229873,0.8076676207897141,0.004487013520344034,5,63,0.06339531720911588,3.7165693930974952,0.8235205263897992
77,0.1554831815113741,0.8843714225749336,0.003194577798638089,7,79,0.01989224566686881,4.477634683673375,0.766469785278739
78,0.15428865452819063,0.8261647512380891,0.002775979814158225,19,83,0.013431872136263444,2.5246604322325106,0.8007326136371481
79,0.15460264521641592,0.9148268297010616,0.003502446033594204,5,75,0.09709841800737377,3.4243202975483036,0.7831402404005032
80,0.15765020926759646,0.8745703714695896,0.0025877484108158245,6,58,0.19180420122842937,2.775639586099849,0.8379445110306977
81,0.14826178905206064,0.799042823333574,0.00666464439661245,4,71,0.0019368603368904733,3.082053006930938,0.7548695496703247
82,0.1482363199128163,0.8140007772927353,0.006647292758575358,4,69,0.044570603017377995,3.1464932449462917,0.7571429763146031
83,0.14823587432060395,0.7991580889075557,0.007135867548690676,4,69,0.042856701381775636,3.206627133348451,0.757258473775862
84,0.1533828829893204,0.7675832925667915,0.006660080669354326,5,69,0.0018725851080804135,3.963857757378481,0.7575288975160415
85,0.1600229099763843,0.7913107099349491,0.007764451095578169,6,72,0.04222431003581515,3.673262915068076,0.7266945347760535
86,0.1474621310482811,0.8066132389336743,0.006262410364867198,4,65,0.0025458645457722465,3.4016471534408526,0.7684216793262277
87,0.15348004213040778,0.8016850279307299,0.006428146921207287,5,62,0.0012389339784165216,4.638536029503185,0.7659881622499605
88,0.15954759568577268,0.7748869866818744,0.005669802921195458,7,65,0.0022990941326058415,4.272864626347538,0.6884061443322629
89,0.15956006015604582,0.8175684149678256,0.0070420897482042066,10,57,0.002809532764167067,2.927189375922226,0.7386196845137765
90,0.14826391918412035,0.786634044629756,0.008606411758580547,4,60,0.005429526841205353,3.4643704621730373,0.751202535362829
91,0.1482193690484551,0.7589477618199811,0.008856101485133033,4,60,0.006055141017103459,3.395137691417952,0.7469900865738157
92,0.15380535255467734,0.7675423049439078,0.010302217185516325,5,52,0.004652715208419167,3.388263464748508,0.7528818555903419
93,0.15949181688396052,0.7349302978866957,0.008200197694706727,4,67,0.006726784198560734,2.3806131230036742,0.7174702030854941
94,0.15696849327819615,0.743254999781031,0.009250443243983521,6,59,0.001629695766149859,2.667655447400036,0.7467066019113748
95,0.1482638365477962,0.7853862095356493,0.00868935893396544,4,55,0.008381728518535896,3.131909076293536,0.7334138887532505
96,0.15980498073541569,0.7572869205678896,0.010506214874858602,8,45,0.004126525077342255,3.929904269731701,0.7355131304694814
97,0.16152305927766428,0.782820019565392,0.008497162455124567,5,56,0.006169218814543292,3.4444673743441157,0.7279747360253702
98,0.15309077019781042,0.8023044447356164,0.006116414517361619,4,60,0.009120667642547346,3.1587181522016343,0.7119825282675094
99,0.15332271503382017,0.7611449410345521,0.008824903268584861,6,74,0.0030062779291215235,3.7076936253442323,0.7557939919746769
100,0.15932730301218992,0.8120943695226526,0.0076596063938210585,16,55,0.002251064751692579,4.266643590673553,0.7432097118129117
101,0.14749456816981557,0.7877584405305447,0.007025995397880347,4,64,0.009962643529366565,2.957475001957504,0.7713366445309837
102,0.15278242935137018,0.7823502403410174,0.007000249529790617,5,68,0.006272960943130731,3.114371315273211,0.7700235812543833
103,0.1482591014071467,0.8004728510783511,0.009609577802644417,4,65,0.003563816608597668,2.872667328687665,0.7605157766361343
104,0.14825201553387157,0.7971513750734676,0.009425153515200797,4,10,0.009728086409980524,2.651168501211902,0.7612096685618194
105,0.15361672718791566,0.7966242042471209,0.009531592164203812,5,25,0.0037289979974988465,1.85340041443791,0.7848773810472683
106,0.1598718086155493,0.7749334556550957,0.010746778623855415,7,11,0.008890952757564144,2.656686184274295,0.7600140041369104
