trial_number,value,state,parameters.max_depth,parameters.learning_rate,parameters.subsample,parameters.colsample_bytree,parameters.gamma,parameters.reg_lambda,parameters.min_child_weight
131,0.3258046106584057,COMPLETE,13,0.008904146103770383,0.89277774062952,0.74040404373764,1.572563061710458,3.809215557544144,3
132,0.3258046106584057,COMPLETE,12,0.008478605937427827,0.8684252367492515,0.7603751354948953,1.2782363010258293,3.1995647896182855,3
133,0.3258046106584057,COMPLETE,17,0.01364220992307548,0.9620144606227591,0.732122112966468,0.3213575248408672,4.556540292015704,3
134,0.3258046106584057,COMPLETE,14,0.010658496013629387,0.9049001187169374,0.7505388321163625,0.0033827963639266575,4.184427748722939,4
135,0.3258046106584057,COMPLETE,13,0.005271238498727411,0.6699089616797325,0.7204886565234188,0.7954873337047937,1.1331367177855725,8
136,0.3258046106584057,COMPLETE,9,0.028100997666116696,0.8441274953239876,0.7985250922323589,1.6835089757222579,4.910640744522403,2
137,0.3258046106584057,COMPLETE,20,0.02555768129953132,0.8140997672397307,0.775811095345866,1.8576173132536264,0.8459318680875477,1
138,0.3258046106584057,COMPLETE,19,0.002484036265062305,0.9871386343428924,0.8648569508695924,0.016880650591607864,0.7449534245025707,5
139,0.3258046106584057,COMPLETE,8,0.003041322986731848,0.9340430752449155,0.8166025717706746,1.2532520406259848,0.701336147491088,7
140,0.3258046106584057,COMPLETE,30,0.02098360641241459,0.7708966084777849,0.6993232136058948,0.030080590344938946,1.4039748991299714,2
141,0.3258046106584057,COMPLETE,14,0.00789051849184028,0.9159882040351747,0.8261094466126531,0.22942932496493376,2.322213989722723,3
142,0.3258046106584057,COMPLETE,16,0.0071433382409083245,0.9309578425829512,0.809848431266207,0.17938866509898577,2.969639883512432,4
143,0.3258046106584057,COMPLETE,13,0.006651580481773288,0.9465112379323353,0.7920763368948159,0.0612232599688672,3.2762787779719975,4
144,0.3258046106584057,COMPLETE,15,0.00959129483626272,0.6076185831770677,0.7848823362478186,0.3811889376420065,2.7070830817233675,3
145,0.3258046106584057,COMPLETE,12,0.0045560045158342605,0.646030308251127,0.6833886956554749,0.021748913425519628,2.4249682550476757,6
146,0.3258046106584057,COMPLETE,14,0.023282358392751452,0.6340769600158668,0.6305223068789441,0.5225310995966276,3.579052605300116,10
147,0.3258046106584057,COMPLETE,6,0.014853772958091229,0.8904861720064252,0.6712079787386043,0.11437473065712432,1.6761563605957193,1
148,0.3258046106584057,COMPLETE,18,0.0026456181689482198,0.875709723111162,0.8389094486943479,0.27176357417330416,3.0871722724236865,3
149,0.3258046106584057,COMPLETE,27,0.011981272827160333,0.7427630052757705,0.64082783092454,0.6291669578494298,2.0842860801532894,2
150,0.3258046106584057,COMPLETE,11,0.007558319947092994,0.6852022754224709,0.6000677559933063,0.001032726400792089,0.6453917205019799,7
151,0.3258046106584057,COMPLETE,22,0.016412074587548706,0.8569011682627193,0.8739671086217091,0.002644923851376655,1.294156220458934,2
152,0.3258046106584057,COMPLETE,24,0.008144450520579712,0.8851450250422005,0.8469045865768313,0.0057225919822947125,1.052784168638974,1
153,0.3258046106584057,COMPLETE,25,0.01794897828469492,0.8285607389460193,0.9297476260333236,0.001984567505570478,1.517273674198646,3
154,0.3258046106584057,COMPLETE,26,0.02684813368348508,0.8220720752448691,0.6632476840833134,0.007840719434325691,1.8327086002682675,1
155,0.3258046106584057,COMPLETE,7,0.0036918967729165295,0.7573346637074282,0.940658914046441,0.0049288091004068115,3.4056931862366713,2
156,0.3258046106584057,COMPLETE,17,0.0023308486766413328,0.9043149808187435,0.8834264552836542,0.012766142101320667,0.9624315096391239,10
157,0.3258046106584057,COMPLETE,23,0.00344044371394019,0.7927189218690597,0.9791120519688268,0.004123231286903244,3.9680212262157846,3
158,0.3258046106584057,COMPLETE,5,0.013217974525463022,0.8387756406622056,0.9661529567468838,0.9821537292327527,1.0961703521900032,6
159,0.3258046106584057,COMPLETE,7,0.005046585074482667,0.6941080309608408,0.8998701573722616,0.08434051662292279,1.1949746849027119,1
160,0.3258046106584057,COMPLETE,20,0.010425438945956208,0.8066356377880233,0.991000005312479,0.0030502936290519485,4.350660794510754,2
161,0.3258046106584057,COMPLETE,29,0.011135543624882102,0.7185299544993615,0.6493068086885774,0.026096400162394284,0.5657166763054492,5
162,0.3258046106584057,COMPLETE,29,0.012321101651184283,0.8482746850897694,0.6084668389287511,0.15018162676463195,0.5278547317250217,4
163,0.3258046106584057,COMPLETE,30,0.015125376382734425,0.9648564603201458,0.802096104308626,0.09128927969201849,0.5119090598616639,4
164,0.3258046106584057,COMPLETE,22,0.00869902833886976,0.6236849136214763,0.6249862419309952,0.01030055298043826,0.6261913383976846,3
165,0.3258046106584057,COMPLETE,30,0.009846314036364023,0.7293721639627572,0.6613221122238095,0.10821404043080086,0.8194474913519819,5
166,0.3258046106584057,COMPLETE,25,0.009187995270958274,0.8613156776337222,0.7255800693995705,0.001464060448724895,0.5860185579783175,10
167,0.3258046106584057,COMPLETE,19,0.024687980664876995,0.6593222661847238,0.8534404068327602,0.004459643379214055,0.7225280968854461,3
168,0.3258046106584057,COMPLETE,28,0.004161458974799607,0.9992930676325877,0.6514340214911224,0.03675081284777357,0.545964310240421,3
169,0.3258046106584057,COMPLETE,24,0.01162694510815312,0.7845445286658195,0.8641512046346768,0.006489134554941886,0.6772794320761237,6
170,0.3258046106584057,COMPLETE,8,0.022347638138084665,0.8719098920028949,0.6375587113788969,0.05347838849844418,0.7612955567217529,10
